,geneid_x,cid,druggroup,drugaction,geneid_y,aid,acname,acvalue
0,1956,3676,approved; vet_approved,antagonist,,,,
1,1956,123631,approved; investigational,antagonist,1956.0,634930.0,IC50,0.02
2,1956,123631,approved; investigational,antagonist,1956.0,638084.0,IC50,0.001
3,1956,123631,approved; investigational,antagonist,1956.0,264807.0,IC50,0.033
4,1956,123631,approved; investigational,antagonist,1956.0,770082.0,IC50,0.0087
5,1956,123631,approved; investigational,antagonist,1956.0,770081.0,IC50,0.062
6,1956,123631,approved; investigational,antagonist,1956.0,770083.0,IC50,3.3
7,1956,123631,approved; investigational,antagonist,1956.0,1315982.0,IC50,0.013999999999999999
8,1956,123631,approved; investigational,antagonist,3791.0,589578.0,IC50,14.8
9,1956,176870,approved; investigational,antagonist,1956.0,638084.0,IC50,0.001
10,1956,176870,approved; investigational,antagonist,1956.0,770082.0,IC50,0.0059
11,1956,176870,approved; investigational,antagonist,1956.0,770081.0,IC50,0.077
12,1956,176870,approved; investigational,antagonist,1956.0,770083.0,IC50,7.6
13,1956,176870,approved; investigational,antagonist,1956.0,1289555.0,IC50,0.01
14,1956,176870,approved; investigational,antagonist,1956.0,1289550.0,IC50,0.011000000000000001
15,1956,176870,approved; investigational,antagonist,1956.0,1289554.0,IC50,9.7
16,1956,176870,approved; investigational,antagonist,1956.0,1289546.0,IC50,9.0
17,1956,176870,approved; investigational,antagonist,1956.0,1289551.0,IC50,0.008
18,1956,176870,approved; investigational,antagonist,2263.0,256654.0,Kd,1.9
19,1956,208908,approved; investigational,antagonist,1956.0,636384.0,IC50,0.009000000000000001
20,1956,5287969,experimental; investigational,,7048.0,624909.0,Kd,5.6
21,1956,5287969,experimental; investigational,,7048.0,435693.0,Kd,5.6
22,1956,3081361,approved,inhibitor,1956.0,66624.0,IC50,0.2
23,1956,3081361,approved,inhibitor,2260.0,73308.0,IC50,6.0
24,1956,3081361,approved,inhibitor,2263.0,625131.0,Kd,1.1
25,1956,3081361,approved,inhibitor,2263.0,1433.0,Kd,1.1
26,1956,3081361,approved,inhibitor,2263.0,256654.0,Kd,5.5
27,1956,3081361,approved,inhibitor,2263.0,435290.0,Kd,1.1
28,1956,3081361,approved,inhibitor,2321.0,73628.0,IC50,0.9
29,1956,3081361,approved,inhibitor,2321.0,261931.0,IC50,0.1
30,1956,3081361,approved,inhibitor,2321.0,263456.0,IC50,0.1
31,1956,3081361,approved,inhibitor,3791.0,216648.0,IC50,0.04
32,1956,3081361,approved,inhibitor,3791.0,216649.0,IC50,0.017
33,1956,3081361,approved,inhibitor,3791.0,216653.0,IC50,0.07
34,1956,3081361,approved,inhibitor,3791.0,261930.0,IC50,0.022000000000000002
35,1956,3081361,approved,inhibitor,3791.0,589575.0,IC50,0.04
36,1956,3081361,approved,inhibitor,3791.0,589578.0,IC50,0.1
37,1956,3081361,approved,inhibitor,3791.0,216652.0,IC50,2.673
38,1956,3081361,approved,inhibitor,3791.0,241758.0,IC50,0.009000000000000001
39,1956,3081361,approved,inhibitor,3791.0,263455.0,IC50,0.022000000000000002
40,1956,3081361,approved,inhibitor,3791.0,1270933.0,IC50,0.04
41,1956,3081361,approved,inhibitor,3791.0,1337731.0,IC50,0.015
42,1956,156414,investigational,,1956.0,1289546.0,IC50,0.003
43,1956,156414,investigational,,7048.0,624909.0,Kd,0.8
44,1956,156414,investigational,,7048.0,1433.0,Kd,0.8
45,1956,156414,investigational,,7048.0,435693.0,Kd,0.8
46,1956,42642648,investigational,,,,,
47,1956,46937083,experimental,,,,,
48,1956,4708,experimental,,,,,
49,1956,10184653,approved,inhibitor,1956.0,770082.0,IC50,0.00057
50,1956,10184653,approved,inhibitor,1956.0,770081.0,IC50,0.012
51,1956,10184653,approved,inhibitor,1956.0,770083.0,IC50,0.023
52,1956,71496458,approved,inhibitor,1956.0,1167101.0,IC50,15.0
53,1956,71496458,approved,inhibitor,1956.0,1167102.0,IC50,17.0
54,1956,71496458,approved,inhibitor,1956.0,1289555.0,IC50,0.036000000000000004
55,1956,71496458,approved,inhibitor,1956.0,1289550.0,IC50,0.055999999999999994
56,1956,71496458,approved,inhibitor,1956.0,1289554.0,IC50,0.013000000000000001
57,1956,71496458,approved,inhibitor,1956.0,1289546.0,IC50,0.015
58,1956,71496458,approved,inhibitor,1956.0,1289551.0,IC50,0.023
59,1956,71496458,approved,inhibitor,1956.0,1291335.0,IC50,0.015
60,1956,71496458,approved,inhibitor,1956.0,1291336.0,IC50,0.48
61,1956,71496458,approved,inhibitor,1956.0,1291334.0,IC50,0.017
62,1956,71300933,investigational,antibody,,,,
63,1956,22024915,experimental; investigational,antagonist,1956.0,683480.0,IC50,0.045
64,1956,9915743,approved; investigational,inhibitor,,,,
65,1956,11511120,approved; investigational,inhibitor,1956.0,770082.0,IC50,0.00063
66,1956,11511120,approved; investigational,inhibitor,1956.0,770081.0,IC50,0.011000000000000001
67,1956,11511120,approved; investigational,inhibitor,1956.0,770083.0,IC50,0.042
68,1956,11511120,approved; investigational,inhibitor,1956.0,1257758.0,IC50,0.0069
69,1956,11511120,approved; investigational,inhibitor,1956.0,1315982.0,IC50,0.006
70,1956,11671467,approved; investigational,inhibitor,,,,
71,1956,68165256,approved; investigational,inhibitor,,,,
72,1956,54758501,investigational,inhibitor,,,,
73,2260,216239,approved; investigational,inhibitor,2263.0,507946.0,Kd,2.7
74,2260,216239,approved; investigational,inhibitor,2263.0,625131.0,Kd,2.7
75,2260,216239,approved; investigational,inhibitor,2263.0,1433.0,Kd,2.7
76,2260,216239,approved; investigational,inhibitor,2263.0,435290.0,Kd,2.7
77,2260,216239,approved; investigational,inhibitor,7048.0,624909.0,Kd,6.9
78,2260,216239,approved; investigational,inhibitor,3791.0,1122066.0,IC50,0.00106
79,2260,216239,approved; investigational,inhibitor,3791.0,1231899.0,IC50,0.00047999999999999996
80,2260,216239,approved; investigational,inhibitor,3791.0,1245568.0,IC50,0.09
81,2260,216239,approved; investigational,inhibitor,3791.0,1254828.0,IC50,0.00047999999999999996
82,2260,216239,approved; investigational,inhibitor,3791.0,1266269.0,IC50,0.0012
83,2260,216239,approved; investigational,inhibitor,3791.0,1270934.0,IC50,0.1
84,2260,216239,approved; investigational,inhibitor,3791.0,1271026.0,IC50,0.09
85,2260,216239,approved; investigational,inhibitor,3791.0,1275675.0,IC50,0.01
86,2260,216239,approved; investigational,inhibitor,3791.0,1276910.0,IC50,0.07200000000000001
87,2260,216239,approved; investigational,inhibitor,3791.0,1287618.0,IC50,0.09
88,2260,1633,experimental,,,,,
89,2260,24180722,experimental,,,,,
90,2260,11674979,experimental,,,,,
